"Symbol,Name,Data,Last,Change,%Chg,""2Y Chg"",""2Y High"",""2Y Low"",Time"
"BELFA,""Bel Fuse Cl A"",+112.66%,38.81,0.95,+2.51%,20.56,44.3,12.38,2023-03-03"
"CIVI,""Civitas Resources Inc"",+111.80%,73.07,0.17999999999999,+0.25%,38.57,84.76,29.62,2023-03-03"
AZO,Autozone,+111.69%,2497.3401,11.7102,+0.47%,1317.6,2610.05,1145.16,2023-03-03
"BXC,""Bluelinx Holdings Inc"",+110.96%,88.35,2.07,+2.40%,46.47,100.01,33.05,2023-03-03"
"MUSA,""Murphy USA Inc"",+110.55%,259.25,2.88,+1.12%,136.12,323,121,2023-03-03"
"BCTX,""Briacell Therapeutics Corp"",+110.17%,7.44,0.29,+4.06%,3.9,12.47,2.81,2023-03-03"
"FLR,""Fluor Corp"",+109.13%,37.56,-0.039999999999999,-0.11%,19.6,38.2,14.41,2023-03-03"
"CRT,""Cross Timbers Royalty Trust"",+108.97%,18.87,-1.09,-5.46%,9.84,30.4,8.46,2023-03-03"
"HCC,""Warrior Met Coal Inc"",+108.96%,42.44,1.65,+4.05%,22.13,42.95,15.07,2023-03-03"
"VRDN,""Viridian Therapeutics Inc"",+108.87%,32.96,0.41,+1.26%,17.18,39,9.47,2023-03-03"
"HES,""Hess Corp"",+108.69%,141.16,0.91,+0.65%,73.52,160.52,61.93,2023-03-03"
"EXTR,""Extreme Networks"",+108.39%,18.13,-0.1,-0.55%,9.43,21.03,7.82,2023-03-03"
"STRL,""Sterling Infrastructure Inc"",+108.07%,40.72,-0.15,-0.37%,21.15,41.31,19.45,2023-03-03"
"TCI,""Transcontinental Realty Investors"",+108.06%,43.63,0.39,+0.90%,22.66,47.76,18.61,2023-03-03"
"AGTI,""Agiliti Inc"",+107.00%,18.63,-0.13,-0.69%,9.63,26.36,10,2023-03-03"
"APA,""Apa Corp"",+106.68%,41.15,0.88,+2.19%,21.24,51.95,15.55,2023-03-03"
"NEX,""Nextier Oilfield Solutions Inc"",+106.57%,10.06,0.22,+2.24%,5.19,12.5,3.06,2023-03-03"
"CAAP,""Corporacion America Airports Sa"",+106.32%,9.47,-0.029999999999999,-0.32%,4.88,10.05,4.2,2023-03-03"
"EURN,""Euronav NV"",+106.29%,19.02,0.45,+2.42%,9.8,21,7.55,2023-03-03"
"BLDR,""Builders Firstsource"",+106.20%,89.18,2.48,+2.86%,45.93,89.41,39.24,2023-03-03"
"AMRK,""A-Mark Precious Meta"",+106.14%,29.53,0.43,+1.48%,15.21,44.6,13.94,2023-03-03"
"DHT,""Dht Holdings"",+104.93%,12.05,0.41,+3.52%,6.17,12.07,4.55,2023-03-03"
"SM,""Sm Energy Company"",+104.36%,31.9,0.92,+2.97%,16.29,54.97,14.79,2023-03-03"
"MLTX,""Moonlake Immunotherapeutics"",+104.17%,22.01,0.46,+2.13%,11.23,22.81,4.25,2023-03-03"
"PAG,""Penske Automotive Group"",+103.73%,144.57,0.94,+0.65%,73.61,155.36,69.79,2023-03-03"
"ATI,""Ati Inc"",+103.57%,42.77,1.07,+2.57%,21.76,43,13.85,2023-03-03"
"AMPH,""Amphastar Pharma"",+103.09%,36.11,-0.89,-2.41%,18.33,44.46,16.91,2023-03-03"
"NVO,""Novo Nordisk A/S ADR"",+102.77%,144.9,1.3,+0.91%,73.44,145.07,66.59,2023-03-03"
"CNQ,""Canadian Natural Resources"",+102.62%,60.28,1.38,+2.34%,30.53,70.6,28.5,2023-03-03"
COP,Conocophillips,+102.46%,108.64,0.31,+0.29%,54.98,138.49,47.85,2023-03-03
"ANET,""Arista Networks Inc"",+101.74%,140.68,4.1,+3.00%,70.94,148.57,65.52,2023-03-03"
"PTSI,""P A M Transport Sv"",+101.67%,30.23,0.29,+0.97%,15.24,40.88,12.94,2023-03-03"
"PDCE,""Pdc Energy Inc"",+101.47%,71.38,2.15,+3.11%,35.95,89.22,30.25,2023-03-03"
"MCK,""Mckesson Corp"",+100.73%,345.67,-1.67,-0.48%,173.46,401.78,169.75,2023-03-03"
"ESTE,""Earthstone Energy"",+99.74%,15.14,0.57,+3.91%,7.56,22.25,6.44,2023-03-03"
"TRNS,""Transcat Inc"",+99.67%,91.45,1.3,+1.44%,45.65,101.05,45,2023-03-03"
"WCC,""Wesco International"",+99.66%,172.69,2.57,+1.51%,86.2,172.99,79.1,2023-03-03"
"XOM,""Exxon Mobil Corp"",+99.59%,112.81,1.41,+1.27%,56.29,119.63,52.1,2023-03-03"
"KRUS,""Kura Sushi USA Inc Cl A"",+99.59%,68.02,4.38,+6.88%,33.94,96.6,28.22,2023-03-03"
"BELFB,""Bel Fuse Inc Cl B"",+99.14%,37.04,0.11,+0.30%,18.44,42,10.58,2023-03-03"
"MGY,""Magnolia Oil & Gas Corp"",+98.97%,23.24,0.4,+1.75%,11.56,30.31,10.29,2023-03-03"
"ON,""On Semiconductor"",+98.94%,78.94,2.19,+2.85%,39.26,87.55,34.01,2023-03-03"
"NSSC,""Napco Sec Tech Inc"",+98.36%,32.74,0.49,+1.52%,16.24,36.78,15.33,2023-03-03"
"AQUA,""Evoqua Water Technologies Corp"",+97.87%,49.21,0.82,+1.69%,24.34,51.35,22,2023-03-03"
"MYRG,""MYR Group Inc"",+97.80%,123.07,1.23,+1.01%,60.85,124.37,56.5,2023-03-03"
"INSE,""Inspired Entertainment Inc"",+97.58%,16.3,0.14,+0.87%,8.05,16.44,6.9,2023-03-03"
"BVH,""Bluegreen Vacations Hldg Corp"",+97.40%,32.71,-0.28,-0.85%,16.14,36.1,15.85,2023-03-03"
"SLB,""Schlumberger N.V."",+97.36%,55.99,0.69,+1.25%,27.62,62.78,24.52,2023-03-03"
"PWR,""Quanta Services"",+97.17%,163.12,3.07,+1.92%,80.39,168.75,78.79,2023-03-03"
"FANG,""Diamondback Energy"",+97.15%,146.76,2.6,+1.80%,72.32,168.95,65.93,2023-03-03"
"TECK,""Teck Resources Ltd"",+97.13%,42.58,0.8,+1.91%,20.98,46.9,17.31,2023-03-03"
"PTEN,""Patterson-Uti Energy"",+97.11%,14.98,0.09,+0.60%,7.38,20.53,6.07,2023-03-03"
"DEN,""Denbury Inc"",+96.96%,86.94,2.1,+2.48%,42.8,104.05,38.03,2023-03-03"
"ACGL,""Arch Capital Grp Ltd"",+96.91%,71.3,0.4,+0.56%,35.09,71.75,35.09,2023-03-03"
"JBL,""Jabil Circuit"",+96.61%,85.27,1.13,+1.34%,41.9,85.7,41.43,2023-03-03"
"HAYN,""Haynes Intl Inc"",+95.90%,58.73,0.48,+0.82%,28.75,58.91,26.82,2023-03-03"
"VNOM,""Viper Energy LP"",+94.80%,30.35,0.21,+0.70%,14.77,36.1,14.24,2023-03-03"
"RIG,""Transocean Inc"",+94.56%,7.51,0.15,+2.04%,3.65,7.69,2.32,2023-03-03"
"OI,""O-I Glass Inc"",+94.52%,23.44,0.19,+0.82%,11.39,23.52,10.64,2023-03-03"
"OLN,""Olin Corp"",+94.19%,60.2,1.2,+2.03%,29.2,67.25,28.86,2023-03-03"
"RNGR,""Ranger Energy Services Inc Cl A"",+93.58%,11.46,0.45,+4.09%,5.54,12.35,4.9,2023-03-03"
Downloaded from Barchart.com as of 03-05-2023 05:28am CST
